,zipcode,total_population,perc_female,percent_black,perc_hispanic,perc_unemployed,median_income,perc_poverty,perc_homeowners,Chains,Fast Food,grocery_store,ratio,pr_food,death_rate_cumulative
0,60601,15083.0,53.39786514619107,4.59457667572764,8.115096466220248,4.5,103112.0,0.7,33.4,9.0,53.0,4.0,12.4,9.899073928162956,68.1
1,60602,1145.0,44.19213973799127,4.279475982532751,6.462882096069869,0.2,191528.0,0.0,42.2,5.0,19.0,0.0,24.0,28.48101285523583,80.4
2,60603,1052.0,50.2851711026616,3.897338403041825,3.2319391634980987,9.1,146250.0,0.0,57.2,5.0,18.0,1.0,11.5,19.6735771320842,0.0
3,60604,823.0,52.369380315917375,4.981773997569866,3.402187120291616,7.5,91750.0,9.1,28.9,4.0,20.0,0.0,24.0,10.685343108082549,0.0
4,60605,29060.0,54.8107364074329,15.320027529249828,7.51892635925671,3.3,111438.0,3.3,48.9,5.0,23.0,3.0,7.0,12.028098626371538,32.7
5,60606,3287.0,48.85914207484028,1.7645269242470338,5.71950106480073,2.1,140558.0,3.7,44.8,13.0,48.0,0.0,61.0,18.55734794631852,32.2
6,60607,29293.0,49.71494896391629,14.341310210630526,7.343051240910798,6.5,102726.0,4.9,41.8,9.0,35.0,3.0,11.0,11.36052218254952,16.9
7,60608,80059.0,44.46595635718658,17.002460685244632,48.69408811001886,6.8,50133.0,15.3,37.3,11.0,34.0,14.0,3.0,3.857818710508784,151.5
8,60609,60939.0,50.51280788985707,25.077536552946388,52.98905462839889,15.0,37353.0,23.8,37.5,10.0,31.0,5.0,6.833333333333333,5.411093248074533,188.6
9,60610,40548.0,53.09509716878761,14.89839202919996,6.229653743711157,3.2,92130.0,5.8,39.3,6.0,22.0,7.0,3.5,8.666057576714408,64.1
10,60611,33224.0,53.322899109077774,2.9105465928244643,4.734529255959547,3.0,106906.0,4.3,46.7,11.0,40.0,4.0,10.2,11.311678388823069,33.9
11,60612,33735.0,52.707870164517566,59.64725062990959,12.023121387283236,9.9,43545.0,23.2,27.8,3.0,20.0,1.0,11.5,4.959932961222361,157.4
12,60613,50761.0,49.46317054431552,6.0124899036662,11.120742302161108,3.0,84318.0,3.7,40.1,9.0,21.0,5.0,5.0,6.285437989804823,79.8
13,60614,71954.0,49.02159713150069,4.284681880090058,6.167829446590877,2.6,117138.0,2.3,44.9,16.0,49.0,11.0,5.416666666666667,12.935256628330201,116.4
14,60615,40590.0,55.34368070953437,54.811529933481154,5.469327420546933,9.0,45077.0,13.0,30.5,3.0,14.0,5.0,2.8333333333333335,1.6273127139071626,60.1
15,60616,54197.0,52.379282986143146,23.647065335719688,8.430355923759617,5.3,52162.0,18.3,37.5,4.0,24.0,6.0,4.0,4.244208000044139,128.5
16,60617,83553.0,54.63119217742032,56.68976577741075,37.15964717005972,14.5,41125.0,19.3,55.0,15.0,30.0,8.0,5.0,3.943598435642503,144.2
17,60618,94907.0,49.70234018565543,2.891251435615919,40.25835818222049,3.5,78704.0,8.0,47.6,23.0,33.0,9.0,5.6,6.920500808797922,98.5
18,60619,61207.0,54.85156926495336,95.71944385446108,1.3135752446615585,16.1,35629.0,21.7,42.2,9.0,19.0,4.0,5.6,3.2918963508762538,168.1
19,60620,67711.0,55.06047761811227,95.69346191903828,1.8401736793135528,16.4,36767.0,22.3,46.8,14.0,31.0,11.0,3.75,3.7179142562081253,171.8
20,60621,28018.0,53.17296023984581,94.9996430865872,3.1800985081019344,24.4,22158.0,38.7,23.0,2.0,14.0,2.0,5.333333333333333,7.872613605137314,230.7
21,60622,53294.0,47.5963523098285,6.456636769617593,22.905017450369648,2.5,101161.0,8.3,37.6,5.0,19.0,3.0,6.0,11.743160207555515,125.0
22,60623,81283.0,50.48165052963104,30.45901356987316,66.79994586813972,11.1,32460.0,25.7,33.5,7.0,14.0,7.0,2.625,4.497883840488509,257.0
23,60624,34892.0,52.57365585234438,90.68267797775997,5.081394015820245,20.1,23429.0,37.6,25.1,4.0,7.0,3.0,2.75,6.969958633859463,160.4
24,60625,79444.0,50.57398922511455,4.83107597804743,32.07668294647802,5.0,68770.0,10.0,39.3,10.0,24.0,4.0,6.8,5.649391653996869,195.6
25,60626,50544.0,50.73994935106046,27.19610636277303,19.59876543209877,5.5,42747.0,18.8,24.3,7.0,21.0,6.0,4.0,2.795924198962119,287.6
26,60628,64254.0,53.37255268154512,93.12571979954556,3.528185015718866,20.1,41169.0,18.9,55.8,9.0,21.0,3.0,7.5,4.163885407863205,257.8
27,60629,110029.0,51.08289632733189,19.58301902225777,71.6411127975352,14.8,43506.0,15.9,57.3,12.0,16.0,9.0,2.8,4.11968921474821,178.8
28,60630,56433.0,51.36179185937306,1.6922722520511049,28.469158116704765,4.8,73212.0,8.2,64.9,13.0,19.0,5.0,5.333333333333333,5.4391744784579,174.4
29,60631,29529.0,51.46466185783467,1.1818889904839311,11.852754918893291,2.5,93989.0,5.1,74.1,2.0,4.0,1.0,3.0,8.152807379638169,254.0
30,60632,89857.0,48.8064368941763,1.901910813848671,82.99297773128416,10.2,44924.0,17.5,53.6,11.0,39.0,10.0,4.545454545454546,4.40867384344547,179.0
31,60633,12689.0,47.63180707699582,23.358814721412248,47.58452202695248,8.4,51538.0,13.5,69.2,1.0,2.0,0.0,3.0,3.2025095309701115,93.2
32,60634,75082.0,51.628885751578274,1.8579686209744013,38.37404437814656,3.8,70083.0,5.5,73.4,15.0,23.0,5.0,6.333333333333333,3.665667545254749,152.6
33,60636,30024.0,53.61377564614975,87.99293898214762,9.402478017585931,27.2,26724.0,29.5,45.0,8.0,16.0,3.0,6.0,6.11196566163586,257.7
34,60637,47300.0,56.29809725158562,75.43551797040169,3.26215644820296,17.9,28965.0,29.9,25.1,2.0,6.0,4.0,1.6,5.277218460336972,99.0
35,60638,58669.0,50.184935826416,3.945865789428829,50.35538359269802,8.0,68089.0,7.4,77.0,11.0,30.0,5.0,6.833333333333333,4.793364609622426,163.3
36,60639,88204.0,50.046483152691486,13.53793478753798,77.99192780372772,7.4,46107.0,16.3,48.2,12.0,44.0,16.0,3.2941176470588234,3.7221834644798726,213.2
37,60640,69363.0,47.99388723094445,16.880757752692357,14.088202644060956,4.2,57221.0,13.3,32.3,9.0,17.0,9.0,2.6,3.759298920698022,182.2
38,60641,69880.0,50.90870062965083,2.544361763022324,54.55065827132227,5.3,63545.0,8.6,52.7,10.0,20.0,3.0,7.5,4.220525345353405,133.8
39,60642,19716.0,47.81395820653277,10.15418949076892,16.240616757963075,3.6,112241.0,5.0,38.4,4.0,11.0,1.0,7.5,13.213268683705525,99.0
40,60643,48887.0,54.97371489352998,72.55712152514984,3.0867101683474134,10.3,65631.0,10.2,74.7,13.0,16.0,4.0,5.8,4.576941610611652,212.6
41,60644,46591.0,52.95443325964242,88.82187546951128,6.855401257753644,14.5,26900.0,28.7,28.0,3.0,7.0,3.0,2.5,3.727845201538816,222.2
42,60645,47270.0,49.76729426697694,15.38819547281574,17.584091389887877,7.3,57572.0,14.3,51.3,5.0,3.0,2.0,2.6666666666666665,4.4467500432888585,186.5
43,60646,28569.0,53.58955511218453,1.0360880674857362,15.051279358745491,4.8,95593.0,4.2,75.7,3.0,7.0,3.0,2.5,8.689857788643398,196.5
44,60647,87633.0,49.32844932844933,5.77978615361793,42.93131582851209,4.0,78413.0,11.1,38.1,20.0,35.0,15.0,3.4375,8.201770488994338,147.4
45,60649,46633.0,57.01970707438938,93.44241202581864,2.549696566808912,16.0,31921.0,25.2,21.7,8.0,14.0,3.0,5.5,4.034734604588682,308.5
46,60651,63492.0,53.89025389025389,51.65690165690166,42.91091791091791,11.1,38955.0,22.0,44.0,7.0,13.0,3.0,5.0,4.02772795969388,178.7
47,60652,43447.0,52.9518723962529,45.62110157203029,41.49193269961102,11.2,70702.0,10.5,82.5,2.0,20.0,1.0,11.0,6.614138918458398,186.8
48,60653,33154.0,56.741268021958135,89.3255715750739,2.7538155275381557,15.7,31093.0,28.0,25.1,4.0,3.0,2.0,2.3333333333333335,4.654944724308724,162.6
49,60654,20022.0,49.84017580661273,5.404055538907202,5.7736489861152736,2.1,122492.0,0.4,40.5,9.0,19.0,2.0,9.333333333333334,13.497313248897914,31.4
50,60655,28569.0,51.1988519024117,6.601561132696279,9.051769400399031,4.1,102813.0,2.8,86.5,8.0,8.0,1.0,8.0,9.369514288472796,107.6
51,60656,28218.0,48.890778935431285,1.28641292791835,13.353178822028491,3.8,64440.0,5.0,61.9,4.0,5.0,2.0,3.0,2.0130790325067593,126.9
52,60657,70958.0,49.75619380478593,3.024324248146791,7.588996307674963,3.0,95173.0,2.0,39.4,12.0,30.0,7.0,5.25,8.124541709070673,60.0
53,60659,42735.0,49.71100971100971,8.253188253188252,20.762840762840764,6.9,52239.0,18.2,40.6,9.0,21.0,3.0,7.5,4.747945876859848,175.3
54,60660,44498.0,49.50110117308643,13.40284956627264,17.11088138792755,4.9,50966.0,10.2,36.7,5.0,18.0,3.0,5.75,1.450787604070774,136.4
55,60661,10354.0,49.96136758740583,4.317172107398107,6.190844118215183,1.5,120000.0,4.7,30.9,5.0,26.0,4.0,6.2,14.43733255853877,10.1
56,60666,,,,,,,,,1.0,31.0,0.0,32.0,,0.0
57,60707,,,,,,,,,5.0,5.0,4.0,2.0,,76.7
58,60827,,,,,,,,,0.0,0.0,1.0,0.0,,38.5
