,zip,Chains,Fast Food,grocery_store
0,60601,9.0,53.0,4.0
1,60602,5.0,19.0,0.0
2,60603,5.0,18.0,1.0
3,60604,4.0,20.0,0.0
4,60605,5.0,23.0,3.0
5,60606,13.0,48.0,0.0
6,60607,9.0,35.0,3.0
7,60608,11.0,34.0,14.0
8,60609,10.0,31.0,5.0
9,60610,6.0,22.0,7.0
10,60611,11.0,40.0,4.0
11,60612,3.0,20.0,1.0
12,60613,9.0,21.0,5.0
13,60614,16.0,49.0,11.0
14,60615,3.0,14.0,5.0
15,60616,4.0,24.0,6.0
16,60617,15.0,30.0,8.0
17,60618,23.0,33.0,9.0
18,60619,9.0,19.0,4.0
19,60620,14.0,31.0,11.0
20,60621,2.0,14.0,2.0
21,60622,5.0,19.0,3.0
22,60623,7.0,14.0,7.0
23,60624,4.0,7.0,3.0
24,60625,10.0,24.0,4.0
25,60626,7.0,21.0,6.0
26,60628,9.0,21.0,3.0
27,60629,12.0,16.0,9.0
28,60630,13.0,19.0,5.0
29,60631,2.0,4.0,1.0
30,60632,11.0,39.0,10.0
31,60633,1.0,2.0,0.0
32,60634,15.0,23.0,5.0
33,60636,8.0,16.0,3.0
34,60637,2.0,6.0,4.0
35,60638,11.0,30.0,5.0
36,60639,12.0,44.0,16.0
37,60640,9.0,17.0,9.0
38,60641,10.0,20.0,3.0
39,60642,4.0,11.0,1.0
40,60643,13.0,16.0,4.0
41,60644,3.0,7.0,3.0
42,60645,5.0,3.0,2.0
43,60646,3.0,7.0,3.0
44,60647,20.0,35.0,15.0
45,60649,8.0,14.0,3.0
46,60651,7.0,13.0,3.0
47,60652,2.0,20.0,1.0
48,60653,4.0,3.0,2.0
49,60654,9.0,19.0,2.0
50,60655,8.0,8.0,1.0
51,60656,4.0,5.0,2.0
52,60657,12.0,30.0,7.0
53,60659,9.0,21.0,3.0
54,60660,5.0,18.0,3.0
55,60661,5.0,26.0,4.0
56,60666,1.0,31.0,0.0
57,60707,5.0,5.0,4.0
58,NAN,0.0,1.0,0.0
59,60827,0.0,0.0,1.0
